javaslat_fo;javaslat_al;tetelszam;daniella_hivatalos_kategoria;daniella_kategoria_ut
(besorolatlan);(besorolatlan);1;;
Elosztók és szekrények;Kiselosztók;9;;
Érzékelők és automatika;Mozgás- és jelenlétérzékelők;1;;
Érzékelők és automatika;Okos eszközök és csengők;2;;
Gyengeáram és adathálózat;Adatkábelek;5;;
Gyengeáram és adathálózat;Csatlakozók és aljzatok;8;;
Installáció technika;Csőidomok, bilincsek, tömszelencék;20;;
Installáció technika;Gégecsövek és védőcsövek;9;;
Installáció technika;Kábelcsatornák és parapetcsatornák;3;;
Kapcsolók és csatlakozók;Dugvillák és csatlakozók;1;;
Kapcsolók és csatlakozók;Falon kívüli szerelvények;6;;
Kapcsolók és csatlakozók;Fényerőszabályzók (dimmerek);1;;
Kapcsolók és csatlakozók;Keretek;9;;
Kapcsolók és csatlakozók;Süllyesztett csatlakozóaljzatok;5;;
Kapcsolók és csatlakozók;Süllyesztett kapcsolók;6;;
Kismegszakítók és védelmek;Áram-védőkapcsolók (FI);4;;
Kismegszakítók és védelmek;Kismegszakítók;19;;
Kismegszakítók és védelmek;Moduláris készülékek;1;;
Kismegszakítók és védelmek;Sínek és szerelési tartozékok;9;;
Kötéstechnika;Érvéghüvelyek és saruk;5;;
Kötéstechnika;Fővezetéki sorkapcsok;13;;
Kötéstechnika;Vezetékösszekötők;6;;
Munkavédelem és segédanyagok;Munkavédelem;1;;
Munkavédelem és segédanyagok;Szerelési segédanyagok;3;;
Szellőzés;Ventilátorok és rácsok;2;;
Szerelvény- és kötődobozok;Falon kívüli kötődobozok;6;;
Szerelvény- és kötődobozok;Gipszkarton dobozok;5;;
Szerelvény- és kötődobozok;Süllyesztett kötődobozok és fedelek;5;;
Szerelvény- és kötődobozok;Szerelvénydobozok és fedelek;13;;
Vezetékek és kábelek;Erőátviteli kábelek;3;;
Vezetékek és kábelek;Gumikábelek és hosszabbító vezetékek;4;;
Vezetékek és kábelek;Installációs vezetékek;6;;
Vezetékek és kábelek;Sodrott és tömör erezetű vezetékek;18;;
Világítás;Fényforrások;1;;
Világítás;Reflektorok és lámpatestek;2;;
Villámvédelem és földelés;Földelők és földelő tartozékok;7;;
Villámvédelem és földelés;Túlfeszültség-védelem;2;;
