vrg_id;megnevezes;marka_gyarto;gyartoi_cikkszam;gtin;kategoria_fo;kategoria_al;kategoria_ut;kategoria_forras;kategoria_javaslat_fo;kategoria_javaslat_al;tomeg_kg;egyseg;becsult_netto_ar_huf;becsult_brutto_ar_huf;ar_megfigyeles_datum;gyartoi_termek_link;megjegyzes;kedvenc;daniella_cikkszam;daniella_netto_egysegar_huf;daniella_brutto_egysegar_huf;daniella_listaar_netto_huf;daniella_engedmeny_szazalek;daniella_kiszereles;daniella_kiszereles_mennyiseg;daniella_aktualis_brutto_ar_huf;daniella_keszlet_db;daniella_termek_link;daniella_ar_ellenorizve;rendelesek_szama;osszes_rendelt_mennyiseg;elso_rendeles;utolso_rendeles;legacy_id;forras
VRG-0001;Kiselosztó falonkívüli 4/48 átlátszó ajtóval IP41 PE/N sínnel ABB Mistral41W 1SPE007717F0721;ABB;1SPE007717F0721;8000126153590;Kapcsolóberendezések és szekrények;Lakáselosztók;/Kapcsolóberendezések és szekrények/;daniella-webshop;Elosztók és szekrények;Kiselosztók;2,4;db;37720;47904;2026.07.09;https://search.abb.com/library/Download.aspx?DocumentID=9AKK108468A2420&LanguageCode=en&DocumentPartId=&Action=Launch;;;ABB1SPE007717F0721;37720;47904;;;1 db;1;58420;2;https://daniella.hu/kiseloszto-falonkivuli-4soros-48-modulos-atlatszo-ajtoval-ip41-pe-n-sinnel-abb-mistral41w-1spe007717f0721-id-abb1spe007717f0721;2026-09-20T08:03:21.802Z;1;1;2026.07.09;2026.07.09;ABB1SPE007717F0721;email:visszaigazolas
VRG-0002;Jelenlét érzékelő süllyeszthető 360 PD2-M-1C-DE IP20 92565 B.E.G;B.E.G.;92565;4007529925650;Automatizálás;Mozgás és jelenlétérzékelők;/Épületautomatizálás/Automatizálás/;daniella-webshop;Érzékelők és automatika;Mozgás- és jelenlétérzékelők;0,208;db;25399,66;32258;2026.09.08;http://beg.luxomat.com/bmeall/92565_ce_declaration_of_conformity_en.pdf;;;BEG92565;25399,66;32258;30602;17;1 db;1;38865;34;https://daniella.hu/jelenlet-erzekelo-sullyesztheto-360-pd2-m-1c-de-ip20-92565-id-beg92565;2026-09-20T08:03:22.799Z;1;1;2026.09.08;2026.09.08;BEG92565;email:modositas + pdf:Megrendelés visszaigazolás
VRG-0003;Számítógép vezeték CAT5E UTP Belden 1583E;Belden;1583E;2050000760075;Kábelek, vezetékek;Elektronikai és adatátviteli vezetékek;/Kábelek, vezetékek/;daniella-webshop;Gyengeáram és adathálózat;Adatkábelek;0,046;;;;;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/BELDE1583E_tanusitvany.pdf;;;BELDE1583E;;;;;;;263;127490;https://daniella.hu/szamitogep-vezetek-cat5-e---utp-fali-rez-pvc-belden-1583e-305-id-belde1583e;2026-09-20T08:03:23.933Z;0;0;;;BELDE1583E;xlsx/mail:anyagar_sablon_Laci.xlsx + Anyagok Forgáchba.eml
VRG-0004;(939081 ) Számítógép vezeték CAT5 E - UTP fali réz PVC (0) BELDEN 1583e;Belden;;8719605002082;Kábelek, vezetékek;Elektronikai és adatátviteli vezetékek;/Kábelek, vezetékek/;daniella-webshop;Gyengeáram és adathálózat;Adatkábelek;0,02;fm;161,46;205;2026.09.15;https://3dgroup.cloud/PIM_MIME/MD09_tanusitvany/BELDE1583EVAGOS_tanusitvany.pdf;;;BELDE1583EVAGOS;161,46;205;207;22;1 fm;1;263;5153;https://daniella.hu/szamitogep-vezetek-cat5-e---utp-fali-rez-pvc-belden-1583e-0-id-belde1583evagos;2026-09-20T08:03:25.092Z;3;140;2026.08.27;2026.09.15;BELDE1583EVAGOS;email:modositas + email:beerkezes + pdf:Megrendelés visszaigazolás
VRG-0005;Műa. doboz 80mm, perforált, tetővel 25863 Budvill;Budvill;25863;4008297258636;Installáció technika;Süllyesztett kötődobozok és fedelek;/Szerelvény- és kötődobozok/Installáció technika/;daniella-webshop;Szerelvény- és kötődobozok;Szerelvénydobozok és fedelek;0,03;db;96,52;123;2026.08.05;;;;BUD25863;96,52;123;;;150 db;150;161;4373;https://daniella.hu/muanyag-doboz-80mm-perforalt-tetovel-25863-budvill-id-bud25863;2026-09-20T08:03:26.087Z;1;10;2026.08.05;2026.08.05;BUD25863;email:visszaigazolas
VRG-0006;MüDN 100 doboz;Budvill;;5998263102997;Installáció technika;Falon kívüli dobozok és fedelek;/Szerelvény- és kötődobozok/Installáció technika/;daniella-webshop;Szerelvény- és kötődobozok;Szerelvénydobozok és fedelek;0,158;db;567,72;721;2026.08.13;;;;BUDT30103;567,72;721;;;1 db;1;948,99;418;https://daniella.hu/mudn-100-doboz-id-budt30103;2026-09-20T08:03:26.985Z;1;5;2026.08.13;2026.08.13;BUDT30103;email:visszaigazolas
VRG-0007;Műa. doboz fedő 65mm, rugós Budvill;Budvill;;9838000000000;Installáció technika;Süllyesztett kötődobozok és fedelek;/Szerelvény- és kötődobozok/Installáció technika/;daniella-webshop;Szerelvény- és kötődobozok;Szerelvénydobozok és fedelek;0,01;db;35,72;45;2026.09.16;;;;BUDT30305;35,72;45;;;200 db;200;59,69;8738;https://daniella.hu/muanyag-doboz-fedo-65mm-rugos-budvill-id-budt30305;2026-09-20T08:03:28.026Z;2;2;2026.09.16;2026.09.16;BUDT30305;email:modositas + email:visszaigazolas
VRG-0008;MüDK Műanyag doboz fedél 100x100;Budvill;;5998263110756;Installáció technika;Süllyesztett kötődobozok és fedelek;/Szerelvény- és kötődobozok/Installáció technika/;daniella-webshop;Szerelvény- és kötődobozok;Szerelvénydobozok és fedelek;0,03;db;44,08;56;2026.07.01;;;;BUDT888666;44,08;56;;;1 db;1;73,66;334;https://daniella.hu/mudk-muanyag-doboz-fedel-100x100-id-budt888666;2026-09-20T08:03:28.898Z;2;10;2026.06.30;2026.07.01;BUDT888666;email:visszaigazolas
VRG-0009;DEHN KSB 50 L10M Korrózióvédő szalag szélesség 50 mm L 10m 556125;DEHN;556125;4013364028517;Villámvédelem;Egyéb;/Földelési rendszerek/Villámvédelem/;daniella-webshop;Villámvédelem és földelés;Földelők és földelő tartozékok;0,56;db;4731,72;6009;2026.09.08;https://www.dehn.hu/store/f/66371898/ZERTIFIKAT/556125_KSB%2050%20L10M_10047721_000_00.pdf;;;DEHN556125;4731,72;6009;;;24 db;24;7154;31;https://daniella.hu/dehn-ksb-50-l10m-korroziovedo-szalag-szelesseg-50-mm-l-10m-556125-id-dehn556125;2026-09-20T08:03:30.086Z;1;1;2026.09.08;2026.09.08;DEHN556125;email:modositas + email:visszaigazolas
VRG-0010;Ha. ceruza 120W 118mm. R7s deLux;deLux;038;5999547610382;;;;;Világítás;Fényforrások;0,00695;db;394,74;501;2026.09.16;https://eprel.ec.europa.eu/api/products/lightsources/978353/fiches?language=HU;;;DEL038;394,74;501;;;50 db;50;517,99;1208;https://daniella.hu/halogen-fenyforras-ceruza-230v-120w-r7s-2220lm-118mm-delux-del038-id-del038;2026-09-20T08:03:30.990Z;1;1;2026.09.16;2026.09.16;DEL038;email:modositas
