bizonylat;datum;tipus;vrg_id;daniella_cikkszam;megnevezes_a_bizonylaton;mennyiseg;egyseg_kiszereles;netto_egysegar_huf;brutto_ertek_huf;hivatkozas;forras_fajl
10859/26VRY;2026.09.16;modositas;VRG-0007;BUDT30305;Műa. doboz fedő 65mm, rugós Budvill;1,00 db;200 db;35,72;45;;FIGYELEM! A rendelés módosult! (1).eml
10859/26VRY;2026.09.16;modositas;VRG-0010;DEL038;Ha. ceruza 120W 118mm. R7s deLux (DEL038);1,00 db;50 db;394,74;501;;FIGYELEM! A rendelés módosult! (1).eml
10859/26VRY;2026.09.16;modositas;VRG-0154;SCHR9XFH112;Fésűs sín 1P villás, 12 modul, 63A, RESI9 R9XFH112 Schneider;1,00 db;10 db;1272;1615;;FIGYELEM! A rendelés módosult! (1).eml
14408/26VRD1;2026.09.08;modositas;VRG-0024;GEWDX15020R;Gégecső lépésálló 20/100 fekete (SGN) 750N FK15 DX15020R Gewiss;200,00 fm;100 fm;109,06;27701;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0100;OBO2003702;Műa. doboz 65mm, perforált, sorolható, 66mm mély, UG 66 2003702 OBO;10,00 db;25 db;83,74;1063;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0099;OBO2003700;Műa. doboz 65mm, perforált, sorolható, 46mm mély, UG 46 2003700 OBO;15,00 db;25 db;53,72;1023;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0208;VEZ2100007;NYM-J 3x 2,5 (100);100,00 fm;100 fm;396,55;50362;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0210;VEZ2100030;(939109 ) NYM-J 5x 1,5 (0);50,00 fm;1 fm;438,9;27870;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0035;GEWGW40053BD;Kiselosztó falonkívüli 4/72 átlátszó ajtóval IP40 PE/N dupla sínnel GW40053BD;1,00 db;1 db;48288,16;61326;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0145;SCHEZ9F57432;4C 32A 6kA Schneider EASY9 PRO EZ9F57432 kismegszakító;1,00 db;3 db;5595,2;7106;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0149;SCHEZ9R49440;FI relé 40/4-0,03 EASY9 PRO, A osztály!!! EZ9R49440 Schneider;1,00 db;3 db;14000;17780;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0133;SCHEZ9F57106;1C 6A 6kA Schneider EASY9 PRO EZ9F57106 kismegszakító;6,00 db;12 db;1145,6;8729;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0138;SCHEZ9F57206;2C 6A 6kA Schneider EASY9 PRO EZ9F57206 kismegszakító;1,00 db;6 db;2628,8;3339;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0136;SCHEZ9F57116;1C 16A 6kA Schneider EASY9 PRO EZ9F57116 kismegszakító;6,00 db;12 db;920;7010;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0134;SCHEZ9F57110;1C 10A 6kA Schneider EASY9 PRO EZ9F57110 kismegszakító;7,00 db;12 db;1063,2;9452;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0154;SCHR9XFH112;Fésűs sín 1P villás, 12 modul, 63A, RESI9 R9XFH112 Schneider;5,00 db;10 db;1272;8077;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0080;LEG753121;Valena Life fehér 2P+F aljzat, rugós 753121 Legrand;25,00 db;15 db;1790,1;56836;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0079;LEG752107;Valena Life fehér 107 keresztkapcsoló 752107 Legrand;1,00 db;5 db;3582,54;4550;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0078;LEG752106;Valena Life fehér 106 váltókapcsoló 752106 Legrand;4,00 db;15 db;2329,08;11832;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0077;LEG752101;Valena Life fehér 101 egypólusú kapcsoló 752101 Legrand;3,00 db;15 db;1790,1;6820;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0082;LEG754001;Valena Life fehér keret 1-es 754001 Legrand;20,00 db;20 db;484,38;12303;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0083;LEG754002;Valena Life fehér keret 2-es, tetszőleges 754002 Legrand;6,00 db;10 db;872,82;6651;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0089;LEG782373;Forix IP44 fehér 2P+F GYV CSF csatlakozóaljzat csapófedéllel fk. 782373 Legrand;2,00 db;10 db;1526,46;3877;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0164;STI1497;Kötődoboz 150x110x70 membrános IP65 Stilo (STI1497) /S-BOX helyett/;4,00 db;1 db;963,2;4893;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0098;OBO2000378;Kötődoboz 100x100x38 A14 IP55 OBO 2000378;4,00 db;1 db;496,91;2524;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0215;WAGO2273203;WAGO 3x 0,5-2,5mm2 vez.összekötő narancs 2273-203;100,00 db;100 db;47,45;6026;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0057;KAB1400014;(939082 ) NYY-J 3x 1,5 (0) RE;30,00 fm;1 fm;339,3;12927;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0012;DEL1745;LED reflektor 30W 4000K mozgásérzékelős 2400lm IP65 120 fok SMD, lapos, fekete delux DEL1745;1,00 db;1 db;7559,4;9600;;FIGYELEM! A rendelés módosult! (10).eml
14408/26VRD1;2026.09.08;modositas;VRG-0020;EKP4377STANDARD;SMR-M 230V Kapcsoló alá szerelhető dimmer, Elko Ep, 4377;1,00 db;1 db;21395,74;27173;;FIGYELEM! A rendelés módosult! (10).eml
