vrg_id;legacy_id;datum;bizonylat;vendor;netto_egysegar_huf;szamitott_brutto_huf;forras_tipus
VRG-0001;ABB1SPE007717F0721;2026.07.09;176384/26VR;daniella;37720;47904;visszaigazolas
VRG-0002;BEG92565;2026.09.07;14408/26VRD1;daniella;25399,66;32258;pdf
VRG-0002;BEG92565;2026.09.08;14408/26VRD1;daniella;25399,66;32258;modositas
VRG-0004;BELDE1583EVAGOS;2026.09.07;14408/26VRD1;daniella;161,46;205;pdf
VRG-0004;BELDE1583EVAGOS;2026.09.08;14408/26VRD1;daniella;161,46;205;modositas
VRG-0004;BELDE1583EVAGOS;2026.09.15;15044/26VRD1;daniella;161,46;205;modositas
VRG-0005;BUD25863;2026.08.05;203724/26VR;daniella;96,52;123;visszaigazolas
VRG-0006;BUDT30103;2026.08.13;08365/26VRB;daniella;567,72;721;visszaigazolas
VRG-0007;BUDT30305;2026.09.16;10859/26VRY;daniella;35,72;45;modositas
VRG-0007;BUDT30305;2026.09.16;10825/26VRY;daniella;35,72;45;visszaigazolas
VRG-0008;BUDT888666;2026.06.30;166186/26VR;daniella;44,08;56;visszaigazolas
VRG-0008;BUDT888666;2026.07.01;10327/26VRD1;daniella;44,08;56;visszaigazolas
VRG-0009;DEHN556125;2026.09.07;14406/26VRD1;daniella;4731,72;6009;visszaigazolas
VRG-0009;DEHN556125;2026.09.08;14406/26VRD1;daniella;4731,72;6009;modositas
VRG-0010;DEL038;2026.09.16;10859/26VRY;daniella;394,74;501;modositas
VRG-0011;DEL1714;2026.06.12;147898/26VR;daniella;5581,4;7088;visszaigazolas
VRG-0011;DEL1714;2026.06.12;58530/26VA;daniella;5581,4;7088;pdf
VRG-0012;DEL1745;2026.09.07;14408/26VRD1;daniella;7559,4;9600;pdf
VRG-0012;DEL1745;2026.09.08;14408/26VRD1;daniella;7559,4;9600;modositas
VRG-0013;DUND1101;2026.07.03;06900/26VRB;daniella;240,16;305;visszaigazolas
VRG-0013;DUND1101;2026.09.16;10825/26VRY;daniella;240,16;305;visszaigazolas
VRG-0014;DUND1102;2026.09.16;10825/26VRY;daniella;139,84;178;visszaigazolas
VRG-0015;DUND8001;2026.06.30;166186/26VR;daniella;105,64;134;visszaigazolas
VRG-0015;DUND8001;2026.07.01;10327/26VRD1;daniella;105,64;134;visszaigazolas
VRG-0016;DUND8002;2026.06.30;166186/26VR;daniella;72,96;93;visszaigazolas
VRG-0016;DUND8002;2026.07.01;10327/26VRD1;daniella;72,96;93;visszaigazolas
VRG-0017;DUW18310;2026.06.30;166186/26VR;daniella;42,33;54;visszaigazolas
VRG-0017;DUW18310;2026.07.01;10327/26VRD1;daniella;42,33;54;visszaigazolas
VRG-0017;DUW18310;2026.07.27;11893/26VRD1;daniella;42,33;54;visszaigazolas
VRG-0018;DUW18320;2026.06.30;166186/26VR;daniella;63,84;81;visszaigazolas
VRG-0018;DUW18320;2026.07.01;10327/26VRD1;daniella;63,84;81;visszaigazolas
VRG-0018;DUW18320;2026.07.27;11893/26VRD1;daniella;63,84;81;visszaigazolas
VRG-0019;EAT275413;2026.07.31;12218/26VRU;daniella;1149,2;1459;visszaigazolas
VRG-0020;EKP4377STANDARD;2026.09.07;14408/26VRD1;daniella;21395,74;27173;pdf
VRG-0020;EKP4377STANDARD;2026.09.08;14408/26VRD1;daniella;21395,74;27173;modositas
VRG-0022;ELTM32TOLDO;2026.09.15;15044/26VRD1;daniella;127,68;162;modositas
VRG-0022;ELTM32TOLDO;2026.09.15;15044/26VRD1;daniella;127,68;162;visszaigazolas
VRG-0023;GEWDX15016R;2026.06.30;166186/26VR;daniella;78,48;100;visszaigazolas
VRG-0023;GEWDX15016R;2026.07.01;10327/26VRD1;daniella;78,48;100;visszaigazolas
VRG-0023;GEWDX15016R;2026.07.14;07251/26VRB;daniella;79,1;100;visszaigazolas
VRG-0024;GEWDX15020R;2026.08.05;203724/26VR;daniella;93,1;118;visszaigazolas
VRG-0024;GEWDX15020R;2026.09.07;14408/26VRD1;daniella;109,06;139;pdf
VRG-0024;GEWDX15020R;2026.09.08;14408/26VRD1;daniella;109,06;139;modositas
VRG-0025;GEWDX15025R;2026.08.05;203724/26VR;daniella;156,8;199;visszaigazolas
VRG-0025;GEWDX15025R;2026.08.24;13509/26VRD1;daniella;183,68;233;visszaigazolas
VRG-0025;GEWDX15025R;2026.08.24;13509/26VRD1;daniella;183,68;233;visszaigazolas
VRG-0027;GEWDX24925;2026.06.12;147898/26VR;daniella;169,4;215;visszaigazolas
VRG-0027;GEWDX24925;2026.06.12;58530/26VA;daniella;169,4;215;pdf
VRG-0028;GEWDX40016;2026.07.14;07251/26VRB;daniella;86,1;109;visszaigazolas
VRG-0029;GEWDX40020;2026.07.14;07251/26VRB;daniella;77;98;visszaigazolas
VRG-0029;GEWDX40020;2026.09.10;09293/26VRB;daniella;90,2;115;modositas
VRG-0029;GEWDX40020;2026.09.10;09293/26VRB;daniella;90,2;115;modositas
VRG-0029;GEWDX40020;2026.09.10;09293/26VRB;daniella;90,2;115;visszaigazolas
VRG-0029;GEWDX40020;2026.09.10;09293/26VRB;daniella;90,2;115;visszaigazolas
VRG-0030;GEWDX40025;2026.07.14;07251/26VRB;daniella;108,5;138;visszaigazolas
VRG-0031;GEWDX40120;2026.07.27;11893/26VRD1;daniella;142,1;180;visszaigazolas
VRG-0032;GEWDX40125;2026.06.12;147898/26VR;daniella;254,2;323;visszaigazolas
VRG-0032;GEWDX40125;2026.06.12;58530/26VA;daniella;254,2;323;pdf
VRG-0032;GEWDX40125;2026.07.27;11893/26VRD1;daniella;264,04;335;visszaigazolas
VRG-0033;GEWDX40325;2026.06.12;58530/26VA;daniella;288,64;367;pdf
VRG-0034;GEWDX43220;2026.09.10;09293/26VRB;daniella;478,06;607;modositas
VRG-0034;GEWDX43220;2026.09.10;09293/26VRB;daniella;478,06;607;modositas
VRG-0034;GEWDX43220;2026.09.10;09293/26VRB;daniella;478,06;607;modositas
VRG-0034;GEWDX43220;2026.09.10;09293/26VRB;daniella;478,06;607;modositas
VRG-0034;GEWDX43220;2026.09.10;09293/26VRB;daniella;478,06;607;modositas
VRG-0035;GEWGW40053BD;2026.09.07;14408/26VRD1;daniella;48288,16;61326;pdf
VRG-0035;GEWGW40053BD;2026.09.08;14408/26VRD1;daniella;48288,16;61326;modositas
VRG-0036;GEWGW48001;2026.07.27;11893/26VRD1;daniella;317,34;403;visszaigazolas
VRG-0037;GEWGW48002;2026.08.13;08365/26VRB;daniella;386,22;490;visszaigazolas
VRG-0038;GEWGW48005;2026.07.27;11893/26VRD1;daniella;822,5;1045;visszaigazolas
VRG-0039;GEWGW48007;2026.07.27;11893/26VRD1;daniella;1592,5;2022;visszaigazolas
VRG-0040;GEWGW50417;2026.08.24;13509/26VRD1;daniella;546,94;695;visszaigazolas
VRG-0040;GEWGW50417;2026.08.24;13509/26VRD1;daniella;546,94;695;visszaigazolas
VRG-0041;GIP00010;2026.07.27;11893/26VRD1;daniella;1570,36;1994;visszaigazolas
VRG-0041;GIP00010;2026.08.05;203724/26VR;daniella;1570,36;1994;visszaigazolas
VRG-0042;HAU250056;2026.09.14;14910/26VRD1;daniella;924;1173;visszaigazolas
VRG-0043;HAU250072;2026.09.14;14910/26VRD1;daniella;429,6;546;visszaigazolas
VRG-0044;HAU250076;2026.09.14;14910/26VRD1;daniella;1106,4;1405;visszaigazolas
VRG-0045;HAU290662;2026.09.07;14406/26VRD1;daniella;85,6;109;visszaigazolas
VRG-0045;HAU290662;2026.09.08;14406/26VRD1;daniella;85,6;109;modositas
VRG-0046;HENKKL54;2026.09.07;14408/26VRD1;daniella;9618,96;12216;pdf
VRG-0046;HENKKL54;2026.09.08;14408/26VRD1;daniella;9618,96;12216;modositas
VRG-0047;HGRK148;2026.07.22;72377/26VA;daniella;2242,66;2848;pdf
VRG-0048;HGRVF112TD;2026.06.30;166186/26VR;daniella;8235,26;10459;visszaigazolas
VRG-0048;HGRVF112TD;2026.07.01;10327/26VRD1;daniella;8235,26;10459;visszaigazolas
VRG-0049;HGRVF412PD;2026.06.30;166186/26VR;daniella;24418,6;31012;visszaigazolas
VRG-0050;HGRVF412TD;2026.07.01;10327/26VRD1;daniella;24418,6;31012;visszaigazolas
VRG-0051;HGRVZ703N;2026.07.22;72377/26VA;daniella;935,41;1188;pdf
VRG-0052;HUTOROE7206GSW;2026.07.29;12045/26VRU;daniella;735,14;934;visszaigazolas
VRG-0053;JPR111356;2026.07.06;06934/26VRB;daniella;2379,64;3022;visszaigazolas
VRG-0053;JPR111356;2026.09.17;15229/26VRD1;daniella;2379,64;3022;modositas
VRG-0054;JPR1278;2026.07.06;06934/26VRB;daniella;1047,14;1330;visszaigazolas
VRG-0055;JPR2058;2026.09.07;14406/26VRD1;daniella;1047,14;1330;visszaigazolas
VRG-0055;JPR2058;2026.09.08;14406/26VRD1;daniella;1047,14;1330;modositas
VRG-0055;JPR2058;2026.09.17;15229/26VRD1;daniella;1047,14;1330;modositas
VRG-0055;JPR2058;2026.09.17;15229/26VRD1;daniella;1047,14;1330;visszaigazolas
VRG-0057;KAB1400014;2026.09.07;14408/26VRD1;daniella;339,3;431;pdf
